"C-20: Disabled Population by type of Disability,Age and Sex ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,Total number of disabled persons,,,In seeing,,,In Hearing,,,In Speech,,,In Movement,,,Mental Retardation,,,Mental Illness,,,Any Other,,,Multiple Disability,,
,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
C4920,20,348,District-Kodarma,Total,90+,64,28,36,14,5,9,14,9,5,0,0,0,16,5,11,0,0,0,1,1,0,1,1,0,18,7,11
C4920,20,348,District-Kodarma,Total,Age Not Stated,3,1,2,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4920,20,348,District-Kodarma,Rural,Total,"8,219","4,798","3,421",970,528,442,"1,835",917,918,615,358,257,"2,076","1,371",705,529,314,215,314,184,130,"1,131",671,460,749,455,294
C4920,20,348,District-Kodarma,Rural,0-4,520,279,241,58,32,26,166,70,96,22,12,10,64,45,19,19,10,9,5,1,4,114,64,50,72,45,27
C4920,20,348,District-Kodarma,Rural,5-9,832,474,358,75,43,32,212,102,110,116,71,45,123,71,52,43,27,16,25,15,10,133,81,52,105,64,41
C4920,20,348,District-Kodarma,Rural,10-19,"1,674","1,029",645,129,83,46,361,202,159,174,103,71,391,271,120,132,73,59,70,44,26,210,113,97,207,140,67
C4920,20,348,District-Kodarma,Rural,20-29,"1,206",732,474,104,56,48,203,90,113,101,59,42,367,269,98,104,56,48,63,37,26,159,102,57,105,63,42
C4920,20,348,District-Kodarma,Rural,30-39,"1,025",631,394,103,62,41,227,120,107,72,43,29,284,196,88,94,63,31,56,38,18,134,80,54,55,29,26
C4920,20,348,District-Kodarma,Rural,40-49,832,515,317,106,65,41,191,102,89,57,29,28,212,146,66,62,40,22,31,19,12,136,87,49,37,27,10
C4920,20,348,District-Kodarma,Rural,50-59,696,387,309,92,53,39,158,67,91,36,16,20,208,132,76,45,26,19,36,18,18,81,49,32,40,26,14
C4920,20,348,District-Kodarma,Rural,60-69,719,399,320,137,66,71,164,87,77,27,17,10,209,131,78,24,15,9,18,7,11,93,54,39,47,22,25
C4920,20,348,District-Kodarma,Rural,70-79,486,246,240,105,43,62,109,51,58,8,6,2,157,86,71,4,3,1,6,2,4,53,33,20,44,22,22
C4920,20,348,District-Kodarma,Rural,80-89,173,81,92,47,20,27,31,18,13,2,2,0,48,20,28,2,1,1,3,2,1,17,7,10,23,11,12
C4920,20,348,District-Kodarma,Rural,90+,54,24,30,14,5,9,11,7,4,0,0,0,13,4,9,0,0,0,1,1,0,1,1,0,14,6,8
C4920,20,348,District-Kodarma,Rural,Age Not Stated,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4920,20,348,District-Kodarma,Urban,Total,"1,976","1,186",790,210,122,88,347,176,171,167,85,82,579,376,203,159,103,56,60,43,17,234,147,87,220,134,86
C4920,20,348,District-Kodarma,Urban,0-4,94,57,37,8,7,1,18,7,11,5,2,3,14,8,6,2,2,0,1,1,0,35,23,12,11,7,4
C4920,20,348,District-Kodarma,Urban,5-9,182,98,84,12,6,6,36,13,23,33,17,16,32,18,14,13,9,4,3,3,0,31,17,14,22,15,7
C4920,20,348,District-Kodarma,Urban,10-19,376,225,151,26,15,11,51,27,24,42,20,22,86,58,28,55,34,21,10,6,4,51,31,20,55,34,21
C4920,20,348,District-Kodarma,Urban,20-29,272,174,98,27,19,8,50,24,26,22,11,11,86,58,28,28,22,6,11,7,4,23,15,8,25,18,7
C4920,20,348,District-Kodarma,Urban,30-39,265,165,100,24,13,11,61,33,28,27,16,11,66,47,19,31,23,8,14,11,3,26,12,14,16,10,6
C4920,20,348,District-Kodarma,Urban,40-49,203,133,70,24,13,11,31,19,12,13,8,5,72,45,27,13,8,5,12,8,4,25,22,3,13,10,3
C4920,20,348,District-Kodarma,Urban,50-59,166,106,60,24,16,8,28,13,15,9,5,4,69,50,19,7,0,7,2,1,1,14,10,4,13,11,2
C4920,20,348,District-Kodarma,Urban,60-69,217,119,98,30,16,14,42,21,21,8,2,6,80,51,29,5,3,2,4,3,1,19,12,7,29,11,18
C4920,20,348,District-Kodarma,Urban,70-79,142,75,67,26,9,17,22,12,10,2,1,1,54,31,23,2,1,1,3,3,0,7,4,3,26,14,12
C4920,20,348,District-Kodarma,Urban,80-89,48,30,18,9,8,1,5,5,0,5,3,2,17,9,8,3,1,2,0,0,0,3,1,2,6,3,3
C4920,20,348,District-Kodarma,Urban,90+,10,4,6,0,0,0,3,2,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,4,1,3
C4920,20,348,District-Kodarma,Urban,Age Not Stated,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4920,20,349,District-Giridih,Total,Total,"49,208","27,877","21,331","7,806","4,130","3,676","13,561","7,246","6,315","3,337","1,922","1,415","9,841","6,195","3,646","2,292","1,358",934,"1,263",731,532,"6,243","3,546","2,697","4,865","2,749","2,116"
C4920,20,349,District-Giridih,Total,0-4,"3,062","1,642","1,420",416,208,208,"1,215",626,589,90,52,38,347,213,134,74,36,38,38,20,18,625,337,288,257,150,107
C4920,20,349,District-Giridih,Total,5-9,"4,578","2,526","2,052",553,313,240,"1,396",702,694,555,328,227,558,310,248,212,122,90,81,50,31,668,349,319,555,352,203
C4920,20,349,District-Giridih,Total,10-19,"9,314","5,317","3,997","1,177",633,544,"2,421","1,333","1,088",980,559,421,"1,659","1,034",625,675,375,300,265,140,125,"1,159",660,499,978,583,395
C4920,20,349,District-Giridih,Total,20-29,"6,816","4,010","2,806",765,423,342,"1,843","1,007",836,566,323,243,"1,428",966,462,475,302,173,244,135,109,931,533,398,564,321,243
C4920,20,349,District-Giridih,Total,30-39,"5,486","3,285","2,201",665,410,255,"1,562",823,739,436,256,180,"1,065",726,339,330,196,134,224,139,85,821,494,327,383,241,142
C4920,20,349,District-Giridih,Total,40-49,"5,019","3,098","1,921",758,435,323,"1,370",795,575,317,180,137,"1,060",742,318,242,162,80,186,122,64,748,455,293,338,207,131
C4920,20,349,District-Giridih,Total,50-59,"4,485","2,521","1,964",907,462,445,"1,233",652,581,169,93,76,"1,060",673,387,132,86,46,102,58,44,523,290,233,359,207,152
C4920,20,349,District-Giridih,Total,60-69,"5,480","2,936","2,544","1,308",638,670,"1,408",728,680,126,77,49,"1,380",832,548,113,61,52,79,45,34,492,275,217,574,280,294
C4920,20,349,District-Giridih,Total,70-79,"3,455","1,771","1,684",915,450,465,792,408,384,73,39,34,867,487,380,26,10,16,33,13,20,197,110,87,552,254,298
C4920,20,349,District-Giridih,Total,80-89,"1,117",554,563,265,122,143,241,118,123,20,12,8,305,158,147,7,3,4,8,6,2,54,27,27,217,108,109
C4920,20,349,District-Giridih,Total,90+,365,196,169,71,34,37,72,47,25,4,2,2,108,52,56,4,3,1,2,2,0,17,11,6,87,45,42
C4920,20,349,District-Giridih,Total,Age Not Stated,31,21,10,6,2,4,8,7,1,1,1,0,4,2,2,2,2,0,1,1,0,8,5,3,1,1,0
C4920,20,349,District-Giridih,Rural,Total,"45,559","25,727","19,832","7,209","3,769","3,440","12,781","6,844","5,937","3,056","1,755","1,301","9,033","5,674","3,359","2,107","1,240",867,"1,145",661,484,"5,705","3,234","2,471","4,523","2,550","1,973"
C4920,20,349,District-Giridih,Rural,0-4,"2,867","1,536","1,331",385,194,191,"1,157",602,555,79,45,34,320,195,125,69,32,37,36,20,16,580,309,271,241,139,102
C4920,20,349,District-Giridih,Rural,5-9,"4,300","2,372","1,928",516,292,224,"1,314",661,653,519,305,214,526,294,232,197,111,86,76,47,29,625,326,299,527,336,191
C4920,20,349,District-Giridih,Rural,10-19,"8,645","4,914","3,731","1,076",571,505,"2,283","1,260","1,023",921,527,394,"1,529",946,583,618,344,274,246,128,118,"1,064",599,465,908,539,369
C4920,20,349,District-Giridih,Rural,20-29,"6,238","3,679","2,559",695,376,319,"1,731",951,780,503,285,218,"1,307",892,415,435,275,160,220,127,93,825,473,352,522,300,222
C4920,20,349,District-Giridih,Rural,30-39,"5,030","3,008","2,022",596,366,230,"1,476",782,694,385,224,161,973,661,312,302,178,124,193,120,73,761,462,299,344,215,129
C4920,20,349,District-Giridih,Rural,40-49,"4,528","2,797","1,731",667,387,280,"1,275",733,542,290,168,122,941,658,283,219,145,74,167,108,59,672,413,259,297,185,112
C4920,20,349,District-Giridih,Rural,50-59,"4,137","2,308","1,829",848,426,422,"1,156",612,544,154,84,70,962,609,353,120,78,42,94,52,42,479,262,217,324,185,139
C4920,20,349,District-Giridih,Rural,60-69,"5,118","2,716","2,402","1,234",587,647,"1,337",690,647,112,66,46,"1,274",763,511,110,60,50,75,42,33,441,247,194,535,261,274
C4920,20,349,District-Giridih,Rural,70-79,"3,263","1,667","1,596",861,419,442,750,390,360,69,36,33,810,455,355,25,10,15,29,10,19,187,103,84,532,244,288
C4920,20,349,District-Giridih,Rural,80-89,"1,057",523,534,257,116,141,226,112,114,20,12,8,284,149,135,7,3,4,6,4,2,49,25,24,208,102,106
C4920,20,349,District-Giridih,Rural,90+,348,188,160,68,33,35,69,45,24,3,2,1,103,50,53,3,2,1,2,2,0,16,11,5,84,43,41
C4920,20,349,District-Giridih,Rural,Age Not Stated,28,19,9,6,2,4,7,6,1,1,1,0,4,2,2,2,2,0,1,1,0,6,4,2,1,1,0
C4920,20,349,District-Giridih,Urban,Total,"3,649","2,150","1,499",597,361,236,780,402,378,281,167,114,808,521,287,185,118,67,118,70,48,538,312,226,342,199,143
C4920,20,349,District-Giridih,Urban,0-4,195,106,89,31,14,17,58,24,34,11,7,4,27,18,9,5,4,1,2,0,2,45,28,17,16,11,5
C4920,20,349,District-Giridih,Urban,5-9,278,154,124,37,21,16,82,41,41,36,23,13,32,16,16,15,11,4,5,3,2,43,23,20,28,16,12
C4920,20,349,District-Giridih,Urban,10-19,669,403,266,101,62,39,138,73,65,59,32,27,130,88,42,57,31,26,19,12,7,95,61,34,70,44,26
C4920,20,349,District-Giridih,Urban,20-29,578,331,247,70,47,23,112,56,56,63,38,25,121,74,47,40,27,13,24,8,16,106,60,46,42,21,21
C4920,20,349,District-Giridih,Urban,30-39,456,277,179,69,44,25,86,41,45,51,32,19,92,65,27,28,18,10,31,19,12,60,32,28,39,26,13
C4920,20,349,District-Giridih,Urban,40-49,491,301,190,91,48,43,95,62,33,27,12,15,119,84,35,23,17,6,19,14,5,76,42,34,41,22,19
C4920,20,349,District-Giridih,Urban,50-59,348,213,135,59,36,23,77,40,37,15,9,6,98,64,34,12,8,4,8,6,2,44,28,16,35,22,13
C4920,20,349,District-Giridih,Urban,60-69,362,220,142,74,51,23,71,38,33,14,11,3,106,69,37,3,1,2,4,3,1,51,28,23,39,19,20
C4920,20,349,District-Giridih,Urban,70-79,192,104,88,54,31,23,42,18,24,4,3,1,57,32,25,1,0,1,4,3,1,10,7,3,20,10,10
C4920,20,349,District-Giridih,Urban,80-89,60,31,29,8,6,2,15,6,9,0,0,0,21,9,12,0,0,0,2,2,0,5,2,3,9,6,3
C4920,20,349,District-Giridih,Urban,90+,17,8,9,3,1,2,3,2,1,1,0,1,5,2,3,1,1,0,0,0,0,1,0,1,3,2,1
C4920,20,349,District-Giridih,Urban,Age Not Stated,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
C4920,20,350,District-Deoghar,Total,Total,"47,613","26,646","20,967","15,494","8,227","7,267","9,571","5,206","4,365","3,909","2,162","1,747","6,820","4,332","2,488","1,700","1,014",686,729,446,283,"6,649","3,671","2,978","2,741","1,588","1,153"
C4920,20,350,District-Deoghar,Total,0-4,"3,942","2,030","1,912","1,628",800,828,855,457,398,88,42,46,248,153,95,88,36,52,19,10,9,848,440,408,168,92,76
C4920,20,350,District-Deoghar,Total,5-9,"4,968","2,644","2,324","1,838",936,902,"1,041",532,509,597,314,283,352,215,137,166,89,77,42,21,21,613,339,274,319,198,121
C4920,20,350,District-Deoghar,Total,10-19,"9,216","5,168","4,048","2,965","1,616","1,349","1,690",944,746,"1,078",568,510,"1,084",680,404,432,250,182,130,70,60,"1,238",686,552,599,354,245
C4920,20,350,District-Deoghar,Total,20-29,"6,914","3,955","2,959","2,104","1,131",973,"1,307",719,588,685,409,276,"1,023",677,346,323,204,119,138,87,51,"1,002",536,466,332,192,140
C4920,20,350,District-Deoghar,Total,30-39,"5,908","3,423","2,485","1,821","1,023",798,"1,198",673,525,517,285,232,808,522,286,264,154,110,148,100,48,920,517,403,232,149,83
C4920,20,350,District-Deoghar,Total,40-49,"4,878","2,872","2,006","1,429",768,661,"1,004",557,447,381,225,156,834,561,273,183,128,55,99,61,38,750,451,299,198,121,77
C4920,20,350,District-Deoghar,Total,50-59,"3,839","2,183","1,656","1,192",662,530,797,419,378,237,130,107,753,494,259,116,75,41,80,48,32,517,270,247,147,85,62
C4920,20,350,District-Deoghar,Total,60-69,"4,432","2,465","1,967","1,399",737,662,946,495,451,189,113,76,973,590,383,84,50,34,55,36,19,496,286,210,290,158,132
C4920,20,350,District-Deoghar,Total,70-79,"2,436","1,318","1,118",787,392,395,524,287,237,95,54,41,521,314,207,37,23,14,14,10,4,189,104,85,269,134,135
C4920,20,350,District-Deoghar,Total,80-89,772,425,347,241,120,121,161,98,63,27,13,14,161,93,68,4,4,0,1,1,0,53,28,25,124,68,56
C4920,20,350,District-Deoghar,Total,90+,210,111,99,55,25,30,28,16,12,9,3,6,47,26,21,1,0,1,1,0,1,10,7,3,59,34,25
C4920,20,350,District-Deoghar,Total,Age Not Stated,98,52,46,35,17,18,20,9,11,6,6,0,16,7,9,2,1,1,2,2,0,13,7,6,4,3,1
C4920,20,350,District-Deoghar,Rural,Total,"39,410","21,869","17,541","12,450","6,514","5,936","7,996","4,342","3,654","3,268","1,792","1,476","5,818","3,652","2,166","1,383",810,573,612,366,246,"5,536","3,041","2,495","2,347","1,352",995
C4920,20,350,District-Deoghar,Rural,0-4,"3,373","1,702","1,671","1,378",654,724,728,389,339,81,38,43,219,134,85,71,24,47,16,7,9,741,383,358,139,73,66
C4920,20,350,District-Deoghar,Rural,5-9,"4,244","2,260","1,984","1,523",768,755,899,461,438,523,273,250,315,193,122,143,76,67,34,20,14,528,294,234,279,175,104
C4920,20,350,District-Deoghar,Rural,10-19,"7,689","4,318","3,371","2,378","1,296","1,082","1,401",793,608,929,490,439,947,590,357,363,210,153,109,58,51,"1,036",569,467,526,312,214
C4920,20,350,District-Deoghar,Rural,20-29,"5,565","3,162","2,403","1,630",862,768,"1,044",578,466,569,336,233,861,565,296,257,159,98,117,73,44,810,433,377,277,156,121
C4920,20,350,District-Deoghar,Rural,30-39,"4,738","2,746","1,992","1,398",781,617,975,552,423,415,230,185,677,434,243,216,129,87,124,81,43,739,417,322,194,122,72
C4920,20,350,District-Deoghar,Rural,40-49,"3,858","2,248","1,610","1,088",581,507,813,439,374,297,172,125,680,455,225,139,93,46,81,49,32,608,363,245,152,96,56
C4920,20,350,District-Deoghar,Rural,50-59,"3,112","1,737","1,375",941,512,429,675,359,316,192,101,91,627,396,231,84,55,29,67,37,30,410,211,199,116,66,50
C4920,20,350,District-Deoghar,Rural,60-69,"3,795","2,066","1,729","1,154",591,563,824,422,402,151,90,61,850,507,343,74,42,32,49,31,18,438,246,192,255,137,118
C4920,20,350,District-Deoghar,Rural,70-79,"2,110","1,128",982,686,335,351,455,243,212,75,42,33,448,273,175,30,18,12,11,7,4,163,87,76,242,123,119
C4920,20,350,District-Deoghar,Rural,80-89,648,354,294,192,95,97,139,84,55,23,12,11,138,75,63,3,3,0,1,1,0,41,24,17,111,60,51
C4920,20,350,District-Deoghar,Rural,90+,182,96,86,48,22,26,24,13,11,7,2,5,40,23,17,1,0,1,1,0,1,9,7,2,52,29,23
C4920,20,350,District-Deoghar,Rural,Age Not Stated,96,52,44,34,17,17,19,9,10,6,6,0,16,7,9,2,1,1,2,2,0,13,7,6,4,3,1
C4920,20,350,District-Deoghar,Urban,Total,"8,203","4,777","3,426","3,044","1,713","1,331","1,575",864,711,641,370,271,"1,002",680,322,317,204,113,117,80,37,"1,113",630,483,394,236,158
C4920,20,350,District-Deoghar,Urban,0-4,569,328,241,250,146,104,127,68,59,7,4,3,29,19,10,17,12,5,3,3,0,107,57,50,29,19,10
C4920,20,350,District-Deoghar,Urban,5-9,724,384,340,315,168,147,142,71,71,74,41,33,37,22,15,23,13,10,8,1,7,85,45,40,40,23,17
C4920,20,350,District-Deoghar,Urban,10-19,"1,527",850,677,587,320,267,289,151,138,149,78,71,137,90,47,69,40,29,21,12,9,202,117,85,73,42,31
C4920,20,350,District-Deoghar,Urban,20-29,"1,349",793,556,474,269,205,263,141,122,116,73,43,162,112,50,66,45,21,21,14,7,192,103,89,55,36,19
C4920,20,350,District-Deoghar,Urban,30-39,"1,170",677,493,423,242,181,223,121,102,102,55,47,131,88,43,48,25,23,24,19,5,181,100,81,38,27,11
C4920,20,350,District-Deoghar,Urban,40-49,"1,020",624,396,341,187,154,191,118,73,84,53,31,154,106,48,44,35,9,18,12,6,142,88,54,46,25,21
C4920,20,350,District-Deoghar,Urban,50-59,727,446,281,251,150,101,122,60,62,45,29,16,126,98,28,32,20,12,13,11,2,107,59,48,31,19,12
C4920,20,350,District-Deoghar,Urban,60-69,637,399,238,245,146,99,122,73,49,38,23,15,123,83,40,10,8,2,6,5,1,58,40,18,35,21,14
C4920,20,350,District-Deoghar,Urban,70-79,326,190,136,101,57,44,69,44,25,20,12,8,73,41,32,7,5,2,3,3,0,26,17,9,27,11,16
C4920,20,350,District-Deoghar,Urban,80-89,124,71,53,49,25,24,22,14,8,4,1,3,23,18,5,1,1,0,0,0,0,12,4,8,13,8,5
C4920,20,350,District-Deoghar,Urban,90+,28,15,13,7,3,4,4,3,1,2,1,1,7,3,4,0,0,0,0,0,0,1,0,1,7,5,2
C4920,20,350,District-Deoghar,Urban,Age Not Stated,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4920,20,351,District-Godda,Total,Total,"51,496","28,127","23,369","22,578","11,931","10,647","8,202","4,394","3,808","1,996","1,161",835,"8,464","4,995","3,469","1,850","1,067",783,645,376,269,"4,895","2,705","2,190","2,866","1,498","1,368"
C4920,20,351,District-Godda,Total,0-4,"4,100","2,112","1,988","2,353","1,205","1,148",705,375,330,49,29,20,260,134,126,130,67,63,13,7,6,480,241,239,110,54,56
C4920,20,351,District-Godda,Total,5-9,"5,300","2,777","2,523","2,769","1,414","1,355",896,454,442,300,157,143,381,226,155,218,116,102,43,20,23,453,240,213,240,150,90
C4920,20,351,District-Godda,Total,10-19,"9,625","5,361","4,264","4,429","2,327","2,102","1,428",787,641,540,332,208,"1,245",764,481,460,274,186,116,68,48,891,500,391,516,309,207
C4920,20,351,District-Godda,Total,20-29,"6,736","3,730","3,006","3,068","1,602","1,466","1,107",565,542,296,168,128,942,636,306,310,194,116,103,62,41,639,337,302,271,166,105
C4920,20,351,District-Godda,Total,30-39,"6,430","3,701","2,729","2,948","1,602","1,346","1,042",586,456,302,178,124,781,528,253,298,165,133,128,80,48,730,438,292,201,124,77
C4920,20,351,District-Godda,Total,40-49,"5,201","3,098","2,103","2,381","1,381","1,000",880,511,369,217,124,93,768,517,251,191,117,74,88,46,42,513,304,209,163,98,65
C4920,20,351,District-Godda,Total,50-59,"4,380","2,491","1,889","1,801","1,000",801,699,384,315,128,75,53,910,552,358,122,78,44,58,39,19,471,261,210,191,102,89
C4920,20,351,District-Godda,Total,60-69,"5,376","2,644","2,732","1,762",853,909,834,388,446,101,61,40,"1,635",833,802,88,39,49,67,36,31,464,254,210,425,180,245
C4920,20,351,District-Godda,Total,70-79,"3,065","1,572","1,493",799,411,388,423,242,181,50,26,24,"1,104",579,525,21,12,9,21,13,8,200,103,97,447,186,261
C4920,20,351,District-Godda,Total,80-89,987,497,490,211,109,102,139,75,64,8,6,2,350,185,165,10,4,6,6,3,3,35,16,19,228,99,129
C4920,20,351,District-Godda,Total,90+,256,121,135,41,19,22,45,25,20,2,2,0,87,41,46,2,1,1,1,1,0,8,4,4,70,28,42
C4920,20,351,District-Godda,Total,Age Not Stated,40,23,17,16,8,8,4,2,2,3,3,0,1,0,1,0,0,0,1,1,0,11,7,4,4,2,2
C4920,20,351,District-Godda,Rural,Total,"49,925","27,201","22,724","22,031","11,628","10,403","7,996","4,285","3,711","1,891","1,102",789,"8,149","4,784","3,365","1,793","1,029",764,612,352,260,"4,698","2,594","2,104","2,755","1,427","1,328"
C4920,20,351,District-Godda,Rural,0-4,"4,008","2,067","1,941","2,306","1,179","1,127",688,370,318,46,27,19,254,130,124,128,65,63,13,7,6,468,237,231,105,52,53
C4920,20,351,District-Godda,Rural,5-9,"5,157","2,709","2,448","2,703","1,381","1,322",880,452,428,286,149,137,368,219,149,214,114,100,41,19,22,432,230,202,233,145,88
C4920,20,351,District-Godda,Rural,10-19,"9,298","5,163","4,135","4,290","2,250","2,040","1,400",770,630,504,309,195,"1,203",731,472,445,265,180,110,66,44,856,479,377,490,293,197
C4920,20,351,District-Godda,Rural,20-29,"6,500","3,592","2,908","3,001","1,569","1,432","1,073",547,526,285,163,122,887,598,289,300,187,113,97,57,40,605,321,284,252,150,102
C4920,20,351,District-Godda,Rural,30-39,"6,226","3,571","2,655","2,887","1,570","1,317","1,014",568,446,284,168,116,740,496,244,286,156,130,122,75,47,704,424,280,189,114,75
C4920,20,351,District-Godda,Rural,40-49,"5,016","2,982","2,034","2,324","1,350",974,846,488,358,207,119,88,733,494,239,181,110,71,84,43,41,485,285,200,156,93,63
C4920,20,351,District-Godda,Rural,50-59,"4,257","2,414","1,843","1,762",974,788,685,376,309,121,71,50,875,531,344,121,77,44,54,36,18,453,251,202,186,98,88
C4920,20,351,District-Godda,Rural,60-69,"5,240","2,563","2,677","1,721",828,893,813,380,433,96,59,37,"1,595",808,787,86,38,48,65,34,31,449,242,207,415,174,241
C4920,20,351,District-Godda,Rural,70-79,"2,984","1,520","1,464",779,395,384,416,237,179,49,26,23,"1,068",558,510,21,12,9,19,11,8,197,100,97,435,181,254
C4920,20,351,District-Godda,Rural,80-89,957,486,471,203,106,97,135,73,62,8,6,2,341,180,161,9,4,5,6,3,3,33,15,18,222,99,123
C4920,20,351,District-Godda,Rural,90+,245,114,131,39,18,21,43,23,20,2,2,0,84,39,45,2,1,1,1,1,0,6,4,2,68,26,42
C4920,20,351,District-Godda,Rural,Age Not Stated,37,20,17,16,8,8,3,1,2,3,3,0,1,0,1,0,0,0,0,0,0,10,6,4,4,2,2
C4920,20,351,District-Godda,Urban,Total,"1,571",926,645,547,303,244,206,109,97,105,59,46,315,211,104,57,38,19,33,24,9,197,111,86,111,71,40
C4920,20,351,District-Godda,Urban,0-4,92,45,47,47,26,21,17,5,12,3,2,1,6,4,2,2,2,0,0,0,0,12,4,8,5,2,3
C4920,20,351,District-Godda,Urban,5-9,143,68,75,66,33,33,16,2,14,14,8,6,13,7,6,4,2,2,2,1,1,21,10,11,7,5,2
C4920,20,351,District-Godda,Urban,10-19,327,198,129,139,77,62,28,17,11,36,23,13,42,33,9,15,9,6,6,2,4,35,21,14,26,16,10
C4920,20,351,District-Godda,Urban,20-29,236,138,98,67,33,34,34,18,16,11,5,6,55,38,17,10,7,3,6,5,1,34,16,18,19,16,3
C4920,20,351,District-Godda,Urban,30-39,204,130,74,61,32,29,28,18,10,18,10,8,41,32,9,12,9,3,6,5,1,26,14,12,12,10,2
C4920,20,351,District-Godda,Urban,40-49,185,116,69,57,31,26,34,23,11,10,5,5,35,23,12,10,7,3,4,3,1,28,19,9,7,5,2
C4920,20,351,District-Godda,Urban,50-59,123,77,46,39,26,13,14,8,6,7,4,3,35,21,14,1,1,0,4,3,1,18,10,8,5,4,1
C4920,20,351,District-Godda,Urban,60-69,136,81,55,41,25,16,21,8,13,5,2,3,40,25,15,2,1,1,2,2,0,15,12,3,10,6,4
C4920,20,351,District-Godda,Urban,70-79,81,52,29,20,16,4,7,5,2,1,0,1,36,21,15,0,0,0,2,2,0,3,3,0,12,5,7
C4920,20,351,District-Godda,Urban,80-89,30,11,19,8,3,5,4,2,2,0,0,0,9,5,4,1,0,1,0,0,0,2,1,1,6,0,6
C4920,20,351,District-Godda,Urban,90+,11,7,4,2,1,1,2,2,0,0,0,0,3,2,1,0,0,0,0,0,0,2,0,2,2,2,0
C4920,20,351,District-Godda,Urban,Age Not Stated,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
C4920,20,352,District-Sahibganj,Total,Total,"36,613","19,549","17,064","14,312","7,429","6,883","7,828","4,021","3,807","2,416","1,317","1,099","4,109","2,519","1,590","1,724",957,767,486,257,229,"4,056","2,221","1,835","1,682",828,854
C4920,20,352,District-Sahibganj,Total,0-4,"3,573","1,827","1,746","1,796",931,865,806,395,411,58,29,29,134,81,53,116,67,49,14,7,7,538,262,276,111,55,56
C4920,20,352,District-Sahibganj,Total,5-9,"4,449","2,305","2,144","1,972","1,012",960,924,479,445,360,179,181,273,156,117,202,105,97,31,14,17,489,248,241,198,112,86
C4920,20,352,District-Sahibganj,Total,10-19,"7,767","4,166","3,601","2,928","1,525","1,403","1,585",864,721,616,337,279,908,522,386,449,257,192,118,58,60,792,423,369,371,180,191
C4920,20,352,District-Sahibganj,Total,20-29,"5,560","3,008","2,552","2,155","1,117","1,038","1,098",534,564,421,237,184,675,439,236,314,177,137,97,65,32,575,319,256,225,120,105
C4920,20,352,District-Sahibganj,Total,30-39,"4,547","2,555","1,992","1,753",914,839,"1,025",569,456,345,184,161,405,288,117,237,134,103,76,44,32,539,327,212,167,95,72
C4920,20,352,District-Sahibganj,Total,40-49,"3,692","2,123","1,569","1,360",766,594,787,412,375,266,161,105,454,318,136,187,106,81,64,29,35,466,273,193,108,58,50
C4920,20,352,District-Sahibganj,Total,50-59,"2,687","1,436","1,251",990,502,488,585,296,289,166,96,70,422,258,164,111,58,53,43,22,21,262,156,106,108,48,60
C4920,20,352,District-Sahibganj,Total,60-69,"2,563","1,298","1,265",832,407,425,617,282,335,105,54,51,496,288,208,72,32,40,26,12,14,239,132,107,176,91,85
C4920,20,352,District-Sahibganj,Total,70-79,"1,139",525,614,341,162,179,267,121,146,44,24,20,238,122,116,20,13,7,11,4,7,79,36,43,139,43,96
C4920,20,352,District-Sahibganj,Total,80-89,286,137,149,84,40,44,54,33,21,11,6,5,66,27,39,7,3,4,3,1,2,20,12,8,41,15,26
C4920,20,352,District-Sahibganj,Total,90+,108,43,65,26,16,10,19,6,13,3,3,0,23,11,12,2,0,2,1,0,1,5,0,5,29,7,22
C4920,20,352,District-Sahibganj,Total,Age Not Stated,242,126,116,75,37,38,61,30,31,21,7,14,15,9,6,7,5,2,2,1,1,52,33,19,9,4,5
C4920,20,352,District-Sahibganj,Rural,Total,"31,673","16,759","14,914","12,552","6,459","6,093","6,870","3,491","3,379","2,071","1,124",947,"3,537","2,166","1,371","1,469",788,681,383,192,191,"3,332","1,831","1,501","1,459",708,751
C4920,20,352,District-Sahibganj,Rural,0-4,"3,130","1,610","1,520","1,613",830,783,705,349,356,48,27,21,115,70,45,102,62,40,9,5,4,438,217,221,100,50,50
C4920,20,352,District-Sahibganj,Rural,5-9,"3,953","2,047","1,906","1,759",899,860,824,431,393,325,163,162,244,141,103,181,90,91,29,13,16,415,211,204,176,99,77
